City,Cloudiness,Country,Date,Humidity,Long,Lat,Max Temp(°F),Wind Speed
Presidencia Roque Saenz Pena,0,AR,1552938515,73,-60.44,-26.79,81.06,4.61
Ust-Barguzin,80,RU,1552938630,75,109.03,53.41,17.61,3.49
Denpasar,20,ID,1552935600,94,115.22,-8.65,78.8,4.7
Verkhoyansk,0,RU,1552938636,60,133.39,67.55,-34.42,2.59
Qujing,24,CN,1552938636,43,103.8,25.49,55.41,12.44
Kuruman,20,ZA,1552938636,83,23.43,-27.46,60.72,0.87
Codrington,75,AU,1552938417,93,153.24,-28.95,68.0,2.89
Kummersbruck,20,DE,1552938617,86,11.89,49.42,39.99,4.7
Mendi,76,ET,1552938637,78,35.1,9.8,62.88,1.81
Tefe,40,BR,1552935600,63,-64.71,-3.35,91.4,11.41
Arlit,0,NE,1552938637,43,7.39,18.74,75.57,3.22
The Valley,20,AI,1552938383,47,-63.06,18.22,82.4,13.87
Veraval,0,FR,1552938615,80,0.71,49.65,44.6,3.36
Matamoros,90,US,1552938625,59,-97.51,25.87,64.4,10.29
Saquena,8,PE,1552938638,65,-73.52,-4.67,88.53,3.71
Port-Gentil,40,GA,1552935600,94,8.78,-0.72,82.4,3.36
Vostok,0,RU,1552938638,72,135.83,46.45,17.61,1.88
Bolu,0,TR,1552938638,80,31.61,40.73,32.64,3.38
Sarahan,24,IN,1552938638,93,77.79,31.51,6.63,1.77
El Sauce,0,SV,1552935000,49,-87.8,13.67,91.4,11.41
Roros,64,NO,1552936800,86,11.38,62.57,26.6,16.11
Eyl,92,SO,1552938639,100,49.82,7.98,77.19,10.76
Ahmadpur,0,IN,1552938639,39,76.94,18.7,68.91,8.14
Jackville,20,CI,1552935600,74,-4.42,5.21,86.0,8.05
Kamenka,20,RU,1552937758,73,44.05,53.19,35.01,5.84
Yenagoa,0,NG,1552938640,84,6.26,4.92,79.44,7.58
Cairns,75,AU,1552938317,88,145.77,-16.92,77.0,11.41
Palu,0,ID,1552938640,90,119.87,-0.9,57.21,1.54
Cayenne,75,GF,1552937400,66,-52.33,4.94,84.2,11.41
Mantua,75,IT,1552938546,61,10.79,45.16,48.99,8.05
Teeli,0,RU,1552938641,54,90.2,51.01,-9.04,3.27
Mareeba,75,AU,1552938317,88,145.42,-16.99,77.0,11.41
Biri,0,NO,1552938608,80,10.61,60.95,23.0,7.0
Maceio,20,BR,1552935600,66,-35.74,-9.67,86.0,13.87
Zyryanka,56,RU,1552938647,66,150.89,65.73,-14.62,4.34
Portel,20,PT,1552935600,51,-7.71,38.31,60.8,10.29
Burnie,0,AU,1552938484,92,145.91,-41.05,57.99,4.0
Dumas,0,IN,1552933800,41,72.71,21.09,78.8,10.65
La Serena,20,CL,1552935600,72,-71.25,-29.9,62.6,17.22
Abong Mbang,0,CM,1552938648,68,13.18,3.98,75.84,2.26
Semey,0,KZ,1552938648,80,80.25,50.41,10.14,7.81
Prado,0,BR,1552938649,93,-39.22,-17.34,83.13,17.2
Camacha,40,PT,1552935600,67,-16.33,33.08,60.8,12.75
Zatoka,20,PL,1552938593,64,20.52,50.04,44.01,5.82
Yarmouth,75,GB,1552938629,87,-1.5,50.71,46.99,5.82
Skarnes,0,NO,1552938608,66,11.68,60.25,33.01,6.93
Lubango,0,AO,1552938650,73,13.49,-14.92,66.66,2.82
Chapais,1,CA,1552936620,60,-74.86,49.78,10.4,9.17
San Vicente,0,SV,1552938621,38,-88.78,13.64,93.2,9.17
Victor Harbor,0,AU,1552938647,67,138.62,-35.55,64.0,3.11
Riyadh,0,SA,1552935600,27,46.72,24.63,62.6,3.36
Saskylakh,8,RU,1552938651,38,114.09,71.97,-25.15,3.04
Erie,20,US,1552938621,69,-80.09,42.13,37.99,13.87
Businga,24,CD,1552938652,58,20.89,3.34,79.98,2.89
Bonfim,20,BR,1552938657,83,-44.24,-20.33,77.1,2.21
Shanghai,12,CN,1552938356,100,121.49,31.23,51.01,2.24
Prince Albert,5,CA,1552935600,52,-105.75,53.2,42.8,9.17
Napasar,0,IN,1552938657,58,73.56,27.97,57.84,2.82
Tilichiki,32,RU,1552938624,41,166.1,60.47,-13.72,2.71
Tarauaca,20,BR,1552938658,69,-70.77,-8.16,87.63,3.11
Sulangan,68,PH,1552938658,100,123.72,11.14,79.89,19.1
Jiwani,0,PK,1552938658,92,61.74,25.05,66.21,11.77
Maningrida,0,AU,1552938658,89,134.23,-12.05,78.45,8.63
Mercedes,0,UY,1552938659,67,-58.03,-33.25,79.44,6.58
Takestan,0,IR,1552935600,65,49.69,36.07,41.0,2.24
Anjiang,76,CN,1552938659,100,110.14,27.32,47.58,2.82
Lazaro Cardenas,75,MX,1552938605,41,-105.62,28.39,61.0,12.75
Marzuq,0,YE,1552938627,70,46.47,14.4,54.69,2.37
Doha,0,QA,1552935600,49,51.53,25.29,68.0,5.82
Yarada,20,IN,1552935600,83,83.27,17.65,77.0,2.24
Mollendo,0,PE,1552938660,54,-72.02,-17.03,75.66,4.12
Banff,0,CA,1552936141,20,-115.57,51.18,53.01,1.01
Malibu,1,US,1552938652,19,-84.48,33.61,64.4,10.29
Srivardhan,0,IN,1552938660,92,73.02,18.03,64.14,2.59
Chumikan,12,RU,1552938661,67,135.31,54.72,-1.03,3.38
Berlevag,75,NO,1552935000,68,29.09,70.86,30.2,20.8
Nalut,56,LY,1552938661,46,10.98,31.86,61.53,8.75
Monrovia,40,LR,1552935600,79,-10.8,6.33,84.2,3.36
Gat,0,SN,1552937400,30,-16.54,14.69,80.6,14.99
Norrtalje,90,SE,1552938660,100,18.7,59.76,33.01,14.99
Santiago,75,CL,1552938592,38,-70.65,-33.44,79.0,8.05
Severo-Kurilsk,32,RU,1552938662,100,156.12,50.68,25.08,7.92
Thinadhoo,0,MV,1552938597,100,72.93,0.53,83.76,3.6
Iqaluit,20,CA,1552938184,62,-68.52,63.75,-16.01,16.11
Alofi,75,NU,1552935600,94,-169.92,-19.06,77.0,2.24
Wamba,32,CD,1552938668,71,27.99,2.14,75.39,3.0
Ostrovnoy,92,RU,1552938668,92,39.51,68.05,30.03,13.67
Coquimbo,20,CL,1552935600,72,-71.34,-29.95,62.6,17.22
Bagrami,90,AF,1552935000,86,69.27,34.49,41.0,11.41
Imuris,0,MX,1552938554,26,-110.86,30.78,78.01,1.99
Kafanchan,0,NG,1552938669,26,8.3,9.58,75.48,6.4
Pevek,56,RU,1552938632,84,170.27,69.7,-5.98,29.17
Alakurtti,88,RU,1552938541,96,30.34,66.96,30.0,2.82
Marawi,88,PH,1552938332,92,124.29,8.0,75.0,3.0
Manacapuru,40,BR,1552935600,59,-60.62,-3.3,91.4,3.36
Nantucket,75,US,1552938664,27,-70.1,41.28,42.01,10.29
Mapastepec,68,MX,1552938670,42,-92.9,15.44,87.45,4.5
Tessalit,0,ML,1552938670,20,1.01,20.2,71.43,6.8
Biertan,0,RO,1552937400,58,24.52,46.14,55.4,8.05
Novyy Urengoy,44,RU,1552938461,62,76.63,66.08,4.29,3.11
Grants,1,US,1552937700,28,-107.85,35.15,57.2,11.41
Vila Frescainha,0,PT,1552938437,76,-8.64,41.54,55.99,9.17
Balkanabat,92,TM,1552938671,96,54.36,39.51,45.24,6.24
Nola,20,CF,1552938671,91,16.05,3.52,71.43,1.7
Nouadhibou,8,MR,1552935600,72,-17.03,20.93,68.0,20.8
Calama,0,CL,1552935600,13,-68.93,-22.46,77.0,24.16
Haverfordwest,68,GB,1552938615,87,-4.97,51.8,48.2,11.41
Springfield,1,US,1552938658,26,-93.29,37.22,60.01,4.5
Kjollefjord,75,NO,1552935000,68,27.35,70.95,30.2,10.29
Flin Flon,5,CA,1552935600,45,-101.88,54.77,44.6,9.17
Neyshabur,92,IR,1552938677,96,58.79,36.21,34.71,19.1
Baruun-Urt,64,MN,1552938634,42,113.28,46.68,32.01,15.64
Papar,75,MY,1552938625,88,115.93,5.73,77.0,4.7
Dingle,64,PH,1552938678,88,122.67,11.0,75.57,10.76
Nuuk,90,GL,1552935000,78,-51.74,64.17,10.4,23.04
Adeje,8,NG,1552938678,75,5.76,5.68,82.5,11.27
Manthani,0,IN,1552938678,47,79.67,18.65,78.81,14.63
Porto Novo,40,BR,1552935600,49,-45.44,-23.68,89.6,11.41
Qaqortoq,75,GL,1552935000,80,-46.03,60.72,30.2,1.12
Gouyave,40,GD,1552935600,66,-61.73,12.16,84.2,20.8
Saint-Paul,75,FR,1552938615,93,1.9,45.22,42.01,2.24
Shache,12,CN,1552938477,38,77.24,38.42,50.0,3.11
Namwala,0,ZM,1552938680,50,26.45,-15.75,72.33,7.81
Half Moon Bay,5,US,1552938461,72,-122.43,37.46,75.0,3.04
Leshukonskoye,80,RU,1552938634,83,45.76,64.9,34.44,9.37
Linqiong,75,CN,1552935600,87,103.46,30.42,55.4,1.99
Marshall,75,US,1552938677,45,-87.69,39.39,50.0,8.05
Buta,12,CD,1552938680,37,24.73,2.79,83.49,5.01
Superior,1,US,1552938676,48,-105.17,39.95,48.99,5.01
Manuk Mangkaw,36,PH,1552938681,100,119.85,4.8,81.24,11.39
Santa Fe,0,AR,1552938651,43,-60.7,-31.62,93.0,1.01
Namibe,0,AO,1552938625,100,12.15,-15.19,77.28,8.75
Narayanavanam,0,IN,1552938682,92,79.59,13.42,70.26,2.77
Mehamn,75,NO,1552935000,68,27.85,71.03,30.2,10.29
Dauriya,48,RU,1552938682,70,116.85,49.93,30.84,14.63
Esmeralda,0,CL,1552935600,40,-70.9,-34.33,71.6,19.46
Atar,44,MR,1552938687,12,-13.05,20.52,70.44,7.29
Robertsport,12,LR,1552938688,98,-11.37,6.75,82.5,11.95
Amreli,0,IN,1552938688,40,71.21,21.6,66.66,6.02
Orlik,44,RU,1552938688,74,99.83,52.51,0.51,1.99
Mwandiga,32,TZ,1552938688,91,29.66,-4.84,80.61,1.48
Blois,80,FR,1552938539,100,1.33,47.59,44.6,6.02
Narrabri,40,AU,1552935600,60,149.78,-30.33,69.8,6.93
Tatarskaya Kargala,90,RU,1552935600,94,55.17,51.95,32.0,11.18
Kudahuvadhoo,88,MV,1552938689,100,72.89,2.67,83.49,5.73
Coalinga,40,US,1552938621,38,-120.36,36.14,75.99,6.93
Mbala,24,ZM,1552938689,88,31.37,-8.85,63.06,2.71
Poopo,64,BO,1552938689,40,-66.97,-18.38,67.74,7.02
Rock Sound,20,BS,1552938689,100,-76.2,24.9,77.19,3.0
Samfya,8,ZM,1552938690,90,29.56,-11.37,66.21,3.49
Shrirampur,0,IN,1552938690,43,79.49,18.86,78.09,11.95
Kayerkan,88,RU,1552938690,82,87.76,69.35,7.8,13.33
Wewak,92,PG,1552938690,92,143.63,-3.55,76.74,3.71
Letlhakane,88,BW,1552938690,30,25.59,-21.42,82.95,9.64
Kolokani,76,ML,1552938690,42,-8.03,13.58,86.46,5.23
Agutaya,56,PH,1552938691,100,120.94,11.15,79.89,22.17
Lerik,90,AZ,1552935600,87,48.42,38.78,50.0,9.17
Mus,0,FR,1552938615,40,4.2,43.74,51.8,11.41
